title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Year of the Widow",movie,Drama,2024,tt30327788,6.4,94,
"Asterix: The Secret of the Magic Potion",movie,"Adventure, Animation, Comedy",2018,tt8001346,6.7,12234,
"The Silent Hour",movie,"Action, Crime, Thriller",2024,tt22874848,6.1,7991,
"John Wick",movie,"Action, Crime, Thriller",2014,tt2911666,7.5,781491,
Twisters,movie,"Action, Adventure, Thriller",2024,tt12584954,6.5,172190,
"Minuscule 2: Mandibles from Far Away",movie,"Adventure, Animation, Comedy",2018,tt7296782,6.9,1907,
"Impractical Jokers: The Movie",movie,Comedy,2020,tt9208444,5.7,7557,
"Birthright Outlaw",movie,"Drama, Western",2023,tt28078052,5,567,
"Miss Sloane",movie,Drama,2016,tt4540710,7.5,86101,
Cuckoo,movie,"Horror, Mystery, Thriller",2024,tt12349832,5.7,27647,
"Bones and All",movie,"Drama, Horror, Romance",2022,tt10168670,6.8,66903,
"Greedy People",movie,"Comedy, Crime",2024,tt20201748,6.2,12163,
"Rio 2",movie,"Adventure, Animation, Comedy",2014,tt2357291,6.3,106524,
"The Lighthouse",movie,"Drama, Fantasy, Horror",2019,tt7984734,7.4,283277,
"Sonic the Hedgehog",movie,"Action, Adventure, Comedy",2020,tt3794354,6.5,181610,
Spycies,movie,"Action, Animation, Comedy",2020,tt8028842,5.5,1177,
"Harry Potter 20th Anniversary: Return to Hogwarts",movie,"Documentary, Family",2022,tt16116174,8,48826,
"Caddo Lake",movie,"Drama, Mystery, Sci-Fi",2024,tt15552142,6.8,43570,
"Once Upon a Time... in Hollywood",movie,"Comedy, Drama",2019,tt7131622,7.6,910311,
"A Difficult Year",movie,Comedy,2023,tt21352380,6,2925,
"War Horse",movie,"Adventure, Drama, War",2011,tt1568911,7.2,169596,
IF,movie,"Animation, Comedy, Drama",2024,tt11152168,6.4,58814,
"The Last Letter from Your Lover",movie,"Drama, Romance",2021,tt1893273,6.7,24121,
"American Fiction",movie,"Comedy, Drama",2023,tt23561236,7.5,110970,
"Hello Again - A Wedding a Day",movie,"Comedy, Fantasy, Romance",2020,tt11576374,5.7,795,
Queer,movie,"Biography, Drama, History",2024,tt24176060,6.4,22523,
"Hellboy: The Crooked Man",movie,"Action, Horror, Mystery",2024,tt26757462,4.5,13999,
Abigail,movie,"Horror, Thriller",2024,tt27489557,6.5,98354,
"Lady Bird",movie,"Comedy, Drama",2017,tt4925292,7.4,351627,
"Knight of Cups",movie,"Drama, Fantasy, Romance",2015,tt2101383,5.6,30721,
"The Visitors",movie,"Documentary, Drama, Fantasy",2022,tt18746698,7.2,69,
"The Bikeriders",movie,"Crime, Drama",2023,tt21454134,6.6,68514,
"Juror #2",movie,"Crime, Drama, Mystery",2024,tt27403986,7,101070,
"Pacific Rim",movie,"Action, Adventure, Sci-Fi",2013,tt1663662,6.9,545550,
"I Don't Love You Anymore",movie,Drama,2023,tt28090412,6.1,101,
"Prisoner's Daughter",movie,Drama,2022,tt4671326,6.4,3244,
"Speak No Evil",movie,"Drama, Horror, Mystery",2022,tt14253846,6.6,57946,
"Captain Underpants: The First Epic Movie",movie,"Action, Adventure, Animation",2017,tt2091256,6.2,34667,
"Lady Macbeth",movie,"Drama, Romance",2016,tt4291600,6.8,28837,
"Black Art: In the Absence of Light",movie,Documentary,2021,tt13937354,7.3,357,
Tenet,movie,"Action, Sci-Fi, Thriller",2020,tt6723592,7.3,630613,
"Wind River",movie,"Crime, Drama, Mystery",2017,tt5362988,7.7,296828,
"Gladiator II",movie,"Action, Adventure, Drama",2024,tt9218128,6.5,240365,
Trap,movie,"Crime, Horror, Mystery",2024,tt26753003,5.8,141754,
"The Last Stop in Yuma County",movie,"Crime, Drama, Thriller",2023,tt11674730,6.9,19814,
"Charakter: Athlete",movie,Documentary,2024,tt33022444,5.9,19,
"Louder: The Soundtrack of Change",movie,"Documentary, Music",2024,tt33482002,6.5,121,
"Back to Black",movie,"Biography, Drama, Music",2024,tt21261712,6.3,26984,
"The Holdovers",movie,"Comedy, Drama",2023,tt14849194,7.9,200081,
"Bájecná léta pod psa",movie,Comedy,1997,tt0118675,7.1,779,
"Poor Things",movie,"Comedy, Drama, Romance",2023,tt14230458,7.8,342366,
"Despicable Me 4",movie,"Adventure, Animation, Comedy",2024,tt7510222,6.2,66825,
"Past Lives",movie,"Drama, Romance",2023,tt13238346,7.8,152552,
"Beauty and the Beast",movie,"Drama, Family, Fantasy",2014,tt2316801,6.4,23498,
Amour,movie,Drama,2012,tt1602620,7.9,108348,
Legend,movie,"Biography, Crime, Drama",2015,tt3569230,6.9,214449,
"Black Adam",movie,"Action, Adventure, Fantasy",2022,tt6443346,6.2,292779,
"I Saw the TV Glow",movie,"Drama, Mystery",2024,tt15574270,5.8,37021,
"This Is Christmas",movie,"Comedy, Drama, Romance",2022,tt22302170,7,3803,
Babylon,movie,"Comedy, Drama",2022,tt10640346,7.1,193877,
"The Forge",movie,"Drama, Family",2024,tt26731216,6.7,5029,
Thelma,movie,"Action, Comedy",2024,tt23778968,7,23365,
Tarot,movie,Horror,2024,tt14088510,4.8,32044,
Sully,movie,"Biography, Drama",2016,tt3263904,7.4,311922,
"Anyone But You",movie,"Comedy, Romance",2023,tt26047818,6.1,146758,
"Ghostbusters: Frozen Empire",movie,"Adventure, Comedy, Fantasy",2024,tt21235248,6.1,94358,
"Saturday Night",movie,"Biography, Comedy, Drama",2024,tt27657135,6.9,31503,
Whiplash,movie,"Drama, Music",2014,tt2582802,8.5,1075435,
"Spider-Man: No Way Home",movie,"Action, Adventure, Fantasy",2021,tt10872600,8.2,952995,
"The King's Man",movie,"Action, Adventure, Thriller",2021,tt6856242,6.3,186961,
"The Matrix Resurrections",movie,"Action, Sci-Fi",2021,tt10838180,5.6,293475,
Mørkeland,movie,"Drama, Thriller",2024,tt27587529,6.2,1063,
"The Survivor",movie,"Biography, Drama, History",2021,tt9242528,6.7,6824,
"Ice Age: Continental Drift",movie,"Adventure, Animation, Comedy",2012,tt1667889,6.5,235000,
"Ice Age: Collision Course",movie,"Adventure, Animation, Comedy",2016,tt3416828,5.7,80962,
"Super/Man: The Christopher Reeve Story",movie,"Biography, Documentary",2024,tt27902121,8,9383,
"A Shaun the Sheep Movie: Farmageddon",movie,"Adventure, Animation, Comedy",2019,tt6193408,6.8,16663,
"The Lord of the Rings: The War of the Rohirrim",movie,"Action, Adventure, Animation",2024,tt14824600,6.3,31681,
"Shaun the Sheep Movie",movie,"Adventure, Animation, Comedy",2015,tt2872750,7.3,45280,
"The Killer",movie,"Action, Thriller",2024,tt1121948,5.7,13147,
"Piece by Piece",movie,"Animation, Biography, Comedy",2024,tt31064841,6.9,5658,
Daddio,movie,Drama,2023,tt7461686,6.6,11948,
Elevation,movie,"Action, Sci-Fi, Thriller",2024,tt23558280,5.6,23254,
Migration,movie,"Adventure, Animation, Comedy",2023,tt6495056,6.6,40381,
"The King Tide",movie,Thriller,2023,tt6632018,6.5,3619,
"Hell or High Water",movie,"Crime, Drama, Thriller",2016,tt2582782,7.6,265761,
"In the Blind Spot",movie,"Drama, Mystery, Thriller",2023,tt26448958,6.6,418,
"The Truth vs. Alex Jones",movie,"Biography, Crime, Documentary",2024,tt31189901,7.5,3025,
"The Brutalist",movie,Drama,2024,tt8999762,7.4,85652,
Happiness,movie,"Drama, Romance",1965,tt0058985,7.6,10591,
"The Batman",movie,"Action, Crime, Drama",2022,tt1877830,7.8,871849,
MaXXXine,movie,"Crime, Horror",2024,tt22048412,6.2,72001,
Memory,movie,Drama,2023,tt19864828,6.7,9105,
Creed,movie,"Action, Drama, Sport",2015,tt3076658,7.6,322085,
"Anatomy of a Fall",movie,"Crime, Drama, Thriller",2023,tt17009710,7.6,175363,
"As Above, So Below",movie,"Horror, Mystery, Thriller",2014,tt2870612,6.3,122923,
"The Perks of Being a Wallflower",movie,Drama,2012,tt1659337,7.9,571157,
"The Inseparables",movie,"Adventure, Animation, Family",2023,tt20221460,5.8,691,
X,movie,"Thriller, Horror",2024,,,,
"Pokémon: Detective Pikachu",movie,"Adventure, Comedy, Family",2019,tt5884052,6.5,191010,
I.S.S.,movie,"Sci-Fi, Thriller",2023,tt13655120,5.3,12556,
Split,movie,"Horror, Thriller",2016,tt4972582,7.3,591617,
"It Chapter Two",movie,"Drama, Fantasy, Horror",2019,tt7349950,6.5,324589,
"The 355",movie,"Action, Thriller",2022,tt8356942,5.6,41024,
Fireheart,movie,"Adventure, Animation, Comedy",2022,tt8354218,6.2,3595,
"Coup de Chance",movie,"Comedy, Crime, Drama",2023,tt15140278,6.4,10252,
"Salem's Lot",movie,"Horror, Thriller",2024,tt10245072,5.6,34139,
"Love Lies Bleeding",movie,"Action, Adventure, Crime",2024,tt19637052,6.6,57742,
Heretic,movie,"Horror, Thriller",2024,tt28015403,7,146990,
"Final Destination 5",movie,"Horror, Thriller",2011,tt1622979,5.9,135695,
"The Present",movie,Comedy,2024,tt20255354,5.5,898,
"Terra Willy",movie,"Adventure, Animation, Comedy",2019,tt8329148,6.6,2542,
"The Wedding Year",movie,"Comedy, Romance",2019,tt8367184,5.6,3780,
"A Quiet Place",movie,"Drama, Horror, Sci-Fi",2018,tt6644200,7.5,629576,
"A Quiet Place Part II",movie,"Drama, Horror, Sci-Fi",2020,tt8332922,7.2,304353,
Rampage,movie,"Action, Adventure, Sci-Fi",2018,tt2231461,6.1,194507,
Argo,movie,"Biography, Drama, History",2012,tt1024648,7.7,652816,
"Godzilla x Kong: The New Empire",movie,"Action, Adventure, Fantasy",2024,tt14539740,6,122800,
Chappie,movie,"Action, Crime, Drama",2015,tt1823672,6.8,277890,
"The Cursed",movie,"Fantasy, Horror, Mystery",2021,tt9907782,6.2,20364,
"Speak No Evil",movie,"Drama, Horror, Thriller",2024,tt27534307,6.8,104945,
"Ready Player One",movie,"Action, Adventure, Sci-Fi",2018,tt1677720,7.4,517773,
Criminal,movie,"Action, Sci-Fi, Thriller",2016,tt3014866,6.3,73340,
"Evil Dead Rise",movie,Horror,2023,tt13345606,6.5,156106,
"The Gabby Petito Story",movie,Drama,2022,tt20049600,5.5,958,
"The Conjuring",movie,"Horror, Mystery, Thriller",2013,tt1457767,7.5,584838,
"The Bricklayer",movie,"Action, Thriller",2023,tt2016303,5.2,12838,
"The Greatest Showman",movie,"Biography, Drama, Musical",2017,tt1485796,7.5,331068,
"Sleeping Dogs",movie,"Crime, Mystery, Thriller",2024,tt8542964,6.2,21933,
"Mission: Impossible - Rogue Nation",movie,"Action, Adventure, Thriller",2015,tt2381249,7.4,426874,
"Too Old for Fairy Tales 2",movie,Family,2024,tt31739491,4.9,408,
"Miller's Girl",movie,"Comedy, Drama, Thriller",2024,tt8310486,5.2,23902,
Reagan,movie,"Biography, Drama, History",2024,tt1723808,6.1,11330,
"Red Right Hand",movie,"Action, Thriller",2024,tt19244260,5.5,5971,
"Johnny English Strikes Again",movie,"Action, Adventure, Comedy",2018,tt6921996,6.2,87440,
"LEGO DC Super Hero Girls: Super-villain High",movie,"Action, Adventure, Animation",2018,tt8050266,5.1,517,
"The Powerpuff Girls Movie",movie,"Action, Adventure, Animation",2002,tt0289408,6.5,11395,
"Tom & Jerry",movie,"Adventure, Animation, Comedy",2021,tt1361336,5.3,41657,
Host,movie,"Horror, Mystery",2020,tt12749596,6.5,44797,
"The Menu",movie,"Comedy, Horror, Thriller",2022,tt9764362,7.2,455541,
"Tokyo Twilight",movie,Drama,1957,tt0051093,8.1,5398,
"Jojo Rabbit",movie,"Comedy, Drama, War",2019,tt2584384,7.9,467725,
"An Autumn Afternoon",movie,Drama,1962,tt0056444,8,11385,
"Early Summer",movie,"Comedy, Drama, Romance",1951,tt0043313,8,10194,
Totem,movie,Drama,2023,tt26315142,7,3806,
Boyhood,movie,Drama,2014,tt1065073,7.9,375337,
"Puss in Boots: The Last Wish",movie,"Action, Adventure, Animation",2022,tt3915174,7.8,204866,
"Furiosa: A Mad Max Saga",movie,"Action, Adventure, Sci-Fi",2024,tt12037194,7.5,287920,
"World War Z",movie,"Action, Adventure, Horror",2013,tt0816711,7,753080,
"Sam Jay: Salute Me or Shoot Me",movie,Comedy,2023,tt29280429,6.2,146,
"Midas Man",movie,"Biography, Drama, Music",2024,tt12627606,6.4,1673,
"A Quiet Place: Day One",movie,"Drama, Horror, Sci-Fi",2024,tt13433802,6.3,152202,
"A Biltmore Christmas",movie,"Fantasy, Romance",2023,tt24822574,7.7,6075,
"Roadrunner: A Film About Anthony Bourdain",movie,Documentary,2021,tt14512538,7.7,10972,
"Dear Rider: The Jake Burton Story",movie,"Documentary, Sport",2021,tt15390756,7.7,357,
"Bad Boys: Ride or Die",movie,"Action, Adventure, Comedy",2024,tt4919268,6.5,101208,
Navalny,movie,"Biography, Documentary",2022,tt17041964,7.7,31657,
"Fantastic Beasts: A Natural History",movie,Documentary,2022,tt11709244,6.6,738,
"The Bee Gees: How Can You Mend a Broken Heart",movie,"Biography, Documentary, Music",2020,tt9850386,8.1,5930,
Heartless,movie,Drama,2023,tt26245778,6.5,568,
"Madagascar 3: Europe's Most Wanted",movie,"Adventure, Animation, Comedy",2012,tt1277953,6.8,208217,
"Sometimes I Think About Dying",movie,"Comedy, Drama, Romance",2023,tt16431966,6.6,6669,
"Baby Driver",movie,"Action, Crime, Drama",2017,tt3890160,7.5,651785,
"Midnight in the Switchgrass",movie,"Crime, Mystery, Thriller",2021,tt11656220,4.6,12134,
Hellraiser,movie,"Horror, Mystery, Thriller",2022,tt0887261,5.9,52769,
"The Swamp",movie,Documentary,2020,tt12762002,6.6,790,
Babes,movie,Comedy,2024,tt21276958,6.3,6446,
"High & Low - John Galliano",movie,"Biography, Documentary",2023,tt27795526,7.1,1260,
"15 Minutes of Shame",movie,Documentary,2021,tt11188206,6.8,1046,
"Cash Out",movie,Action,2024,tt24131288,4.8,3019,
Companion,movie,"Sci-Fi, Thriller",2025,tt26584495,6.9,106403,
"Superman II: The Richard Donner Cut",movie,"Action, Adventure, Romance",2006,tt0839995,7.6,20157,
"Summer Camp",movie,Comedy,2024,tt26928684,4.5,1603,
"The WORD",movie,Drama,2022,tt10692870,5.9,97,
Winner,movie,"Adventure, Biography, Comedy",2024,tt11433906,6.5,2577,
"Finding the Way Home",movie,Documentary,2019,tt10720568,7.4,91,
"The Soul of America",movie,Documentary,2020,tt12944564,7.3,563,
BlackBerry,movie,"Biography, Comedy, Drama",2023,tt21867434,7.3,56735,
"The Perfect Weapon",movie,Documentary,2020,tt11354168,7.2,1220,
"Showbiz Kids",movie,Documentary,2020,tt3197274,7,2149,
"Paddington in Peru",movie,"Adventure, Animation, Comedy",2024,tt5822536,6.7,23492,
Drive,movie,"Action, Drama",2011,tt0780504,7.8,736563,
1992,movie,"Action, Drama, Thriller",2022,tt4959750,5.7,3393,
Barbie,movie,"Adventure, Comedy, Fantasy",2023,tt1517268,6.8,608610,
"Tastes of Horror",movie,"Horror, Mystery",2023,tt28995831,5.1,255,
"The Boogeyman",movie,"Horror, Mystery, Thriller",2023,tt3427252,5.9,49936,
Kooky,movie,"Animation, Comedy, Family",2010,tt1630603,7.2,1306,
"Modern Father's Diary",movie,Comedy,2021,tt12621548,5.8,256,
"The Father",movie,"Drama, Mystery",2020,tt10272386,8.2,213339,
Tuesday,movie,"Drama, Fantasy",2023,tt14682800,6.3,4158,
"The Conjuring 2",movie,"Horror, Mystery, Thriller",2016,tt3065204,7.3,319049,
"Red Rooms",movie,"Crime, Horror, Mystery",2023,tt22207786,7.1,15393,
"Where the Crawdads Sing",movie,"Drama, Mystery, Romance",2022,tt9411972,7.2,147236,
"The Accountant",movie,"Action, Crime, Drama",2016,tt2140479,7.3,358109,
"Miss Peregrine's Home for Peculiar Children",movie,"Adventure, Drama, Family",2016,tt1935859,6.7,201290,
"Summer Brother",movie,Drama,2023,tt22197856,7.4,258,
"Our Lovely Pig Slaughter",movie,"Comedy, Drama",2024,tt32477816,6.8,153,
"El bus de la vida",movie,Drama,2024,tt27110882,5.8,209,
"Sweet Dreams",movie,Drama,2023,tt13110998,6.5,1281,
"The Boy Next Door",movie,Thriller,2015,tt3181822,4.7,47300,
"All of Us Strangers",movie,"Drama, Romance",2023,tt21192142,7.6,71475,
"The Great Escaper",movie,"Biography, Drama, War",2023,tt14124080,7,8378,
"Arthur the King",movie,"Adventure, Drama, Sport",2024,tt10720352,7,34674,
Demolition,movie,"Comedy, Drama",2015,tt1172049,7,122806,
Richelieu,movie,Drama,2023,tt11706872,7.3,600,
"The Equalizer",movie,"Action, Crime, Thriller",2014,tt0455944,7.3,445969,
"Dr. Bird's Advice for Sad Poets",movie,"Comedy, Drama, Mystery",2021,tt3301314,6,1066,
Arrival,movie,"Drama, Mystery, Sci-Fi",2016,tt2543164,7.9,818359,
"Live by Night",movie,"Action, Crime, Drama",2016,tt2361317,6.4,61106,
"The Purge: Election Year",movie,"Action, Horror, Sci-Fi",2016,tt4094724,6,115325,
"Central Intelligence",movie,"Action, Comedy, Crime",2016,tt1489889,6.3,226552,
Moneyball,movie,"Biography, Drama, Sport",2011,tt1210166,7.6,487016,
R.I.P.D.,movie,"Action, Adventure, Comedy",2013,tt0790736,5.6,148147,
"Crazy, Stupid, Love.",movie,"Comedy, Drama, Romance",2011,tt1570728,7.4,592611,
"For My Country",movie,Drama,2022,tt19891500,6.2,442,
"Bel Canto",movie,"Drama, Music, Romance",2018,tt6046314,5.5,3950,
MI-5,movie,"Action, Drama, Thriller",2015,tt3321300,6.2,24440,
"Civil War",movie,"Action, Thriller",2024,tt17279496,7,240140,
"Ali & Cavett: The Tale of the Tapes",movie,"Documentary, Sport, Talk-Show",2018,tt7847324,7.3,370,
"The Scheme",movie,"Crime, Documentary",2020,tt11916278,7.1,922,
"We Are the Best!",movie,"Drama, Music",2013,tt2364975,7.1,11565,
"The Farewell",movie,"Comedy, Drama",2019,tt8637428,7.5,73986,
"Perpetual Planet: Heroes of the Oceans",movie,Documentary,2021,tt14572254,6.8,116,
"Harold and the Purple Crayon",movie,"Adventure, Animation, Comedy",2024,tt1609486,5.7,8586,
"Venom: Let There Be Carnage",movie,"Action, Sci-Fi, Thriller",2021,tt7097896,5.9,288144,
"The Exorcism of Roland Doe",movie,"Documentary, Drama, Fantasy",2020,tt13183218,6.2,231,
"Fear of Rain",movie,"Drama, Horror, Mystery",2021,tt10037014,5.9,10503,
"Two Sons of Francisco",movie,"Biography, Drama, Music",2005,tt0439547,6.9,6730,
"Kung Fu Panda 2",movie,"Action, Adventure, Animation",2011,tt1302011,7.3,339785,
"The Croods",movie,"Adventure, Animation, Comedy",2013,tt0481499,7.1,242806,
"Man of Steel",movie,"Action, Adventure, Sci-Fi",2013,tt0770828,7.1,834458,
"Wartorn: 1861-2010",movie,"Documentary, War",2010,tt1754858,7.7,624,
"The Miracle of Our Lady of Fatima",movie,"Drama, History",1952,tt0044905,6.7,1528,
"The King of Kings",movie,"Biography, Drama, Family",1927,tt0018054,7.4,2554,
"Red Riding Hood",movie,"Fantasy, Horror, Mystery",2011,tt1486185,5.4,117782,
"The Daytrippers",movie,"Comedy, Drama",1996,tt0116041,7,8048,
"The Roommate",movie,"Drama, Horror, Thriller",2011,tt1265990,4.8,42629,
"A Turtle's Tale: Sammy's Adventures",movie,"Adventure, Animation, Family",2010,tt1230204,6,8524,
"RKO 281",movie,"Biography, Drama",1999,tt0120801,7,6617,
"Look Back in Anger",movie,Drama,1959,tt0051879,7,4550,
"La Ronde",movie,"Drama, Romance",1950,tt0042906,7.5,6237,
"Stuart: A Life Backwards",movie,Drama,2007,tt0853153,7.6,15265,
"Wild Boys of the Road",movie,"Adventure, Drama",1933,tt0024772,7.5,2482,
Tyson,movie,"Biography, Drama, Sport",1995,tt0114759,6.2,2696,
"I'm All Good",movie,Comedy,2008,tt1288494,6.4,456,
"Con Man",movie,Documentary,2003,tt0353316,6,154,
Hop,movie,"Adventure, Animation, Comedy",2011,tt1411704,5.4,39049,
Summertime,movie,"Comedy, Drama, Romance",1955,tt0048673,7.1,10691,
Hanna,movie,"Action, Adventure, Drama",2011,tt0993842,6.7,211242,
Flypaper,movie,"Comedy, Crime",1999,tt0132165,5.2,882,
"Anna Karenina",movie,"Drama, Romance",1997,tt0118623,6.3,6331,
"Friends with Benefits",movie,"Comedy, Romance",2011,tt1632708,6.5,409510,
"Just Go with It",movie,"Comedy, Romance",2011,tt1564367,6.4,278070,
"The Twilight Saga: Breaking Dawn - Part 1",movie,"Adventure, Drama, Fantasy",2011,tt1324999,4.9,263707,
"The Twilight Saga: Breaking Dawn - Part 2",movie,"Adventure, Drama, Fantasy",2012,tt1673434,5.6,272509,
"Arthur Christmas",movie,"Adventure, Animation, Comedy",2011,tt1430607,7.1,70497,
"Open Season 3",movie,"Adventure, Animation, Comedy",2010,tt1646926,5,14139,
"Dennis Miller: All In",movie,Comedy,2006,tt0770742,5.7,260,
"Night Nurse",movie,"Comedy, Crime, Drama",1931,tt0022208,7,4851,
"Horrible Bosses",movie,"Comedy, Crime",2011,tt1499658,6.9,479287,
"San Quentin",movie,"Crime, Drama, Film-Noir",1937,tt0029511,6.5,2359,
"The Secret World of Arrietty",movie,"Adventure, Animation, Drama",2010,tt1568921,7.6,111386,
"Of Mice and Men",movie,"Adventure, Drama",1939,tt0031742,7.8,7236,
Limitless,movie,"Sci-Fi, Thriller",2011,tt1219289,7.4,630102,
"Romantics Anonymous",movie,"Comedy, Romance",2010,tt1565958,6.9,12311,
"Cedar Rapids",movie,Comedy,2011,tt1477837,6.3,40422,
"Wide Awake",movie,Documentary,2006,tt0492502,6.6,659,
"Julia's Eyes",movie,"Horror, Mystery, Thriller",2010,tt1512685,6.7,38435,
"Bad Teacher",movie,"Comedy, Romance",2011,tt1284575,5.7,217617,
"Carrie Fisher: Wishful Drinking",movie,"Comedy, Documentary",2010,tt1705977,7.4,2396,
Mariages!,movie,"Comedy, Drama",2004,tt0388242,5.6,1225,
"Cast a Deadly Spell",movie,"Comedy, Fantasy, Horror",1991,tt0101550,6.4,5330,
"Golden Chicken",movie,"Comedy, Drama",2002,tt0354593,7.1,1064,
Downhill,movie,"Adventure, Drama, Thriller",1927,tt0017825,6,3300,
"The West Point Story",movie,"Comedy, Music",1950,tt0043123,6.2,1553,
"The Long Voyage Home",movie,"Drama, War",1940,tt0032728,6.9,5268,
"Special Agent",movie,"Drama, Mystery, Romance",1935,tt0027029,6.4,1298,
Alice,movie,Drama,2005,tt0459072,7.3,2431,
"300: Rise of an Empire",movie,"Action, Drama",2014,tt1253863,6.2,323654,
WebSiteStory,movie,"Action, Drama",2010,tt1650461,6,672,
"A Night in the Show",movie,"Comedy, Short",1915,tt0005812,6.4,2543,
"Shoulder Arms",movie,"Comedy, Short, War",1918,tt0009611,7.3,7726,
Sunnyside,movie,"Comedy, Short",1919,tt0010747,6.6,3490,
"A Day's Pleasure",movie,"Comedy, Short",1919,tt0010057,6.6,3814,
"Pay Day",movie,"Comedy, Short",1922,tt0013486,7.4,5107,
"Bumping Into Broadway",movie,"Comedy, Short",1919,tt0009973,6.9,1461,
"High and Dizzy",movie,"Comedy, Short",1920,tt0011293,6.8,1552,
"Captain Kidd's Kids",movie,"Comedy, Short",1919,tt0009986,6.4,601,
"Co-ed Call Girl",movie,Drama,1996,tt0115917,4.4,591,
"The Murder of Fred Hampton",movie,"Biography, Crime, Documentary",1971,tt0067456,7.6,614,
"Star Trek Into Darkness",movie,"Action, Adventure, Sci-Fi",2013,tt1408101,7.7,504191,
"All Aboard! Rosie's Family Cruise",movie,Documentary,2006,tt0421270,6.6,316,
"Kawasaki's Rose",movie,Drama,2009,tt1552197,7,769,
"Citizen Havel",movie,Documentary,2008,tt0843329,7.8,500,
"La Pointe Courte",movie,"Drama, Romance",1955,tt0048499,7,4618,
"Tracy Morgan: Black and Blue",movie,"Comedy, Documentary",2010,tt1772407,5.4,315,
"Cane Toads: The Conquest",movie,"Comedy, Documentary",2010,tt1568924,7,525,
"A Crime in Paradise",movie,Comedy,2001,tt0245530,6.5,2091,
"Mondays in the Sun",movie,"Comedy, Drama",2002,tt0319769,7.5,15875,
"When Ladies Meet",movie,"Comedy, Drama, Romance",1941,tt0034386,6.5,1466,
"Introducing Dorothy Dandridge",movie,"Biography, Drama, Music",1999,tt0172348,7,4043,
"Old Acquaintance",movie,"Drama, Romance",1943,tt0036230,7.4,4053,
"Alvin and the Chipmunks: Chipwrecked",movie,"Adventure, Comedy, Family",2011,tt1615918,4.4,42094,
Overlord,movie,"Drama, History, War",1975,tt0073502,7.1,3577,
"Another Earth",movie,"Drama, Mystery, Romance",2011,tt1549572,6.9,102404,
"Identity Card",movie,"Comedy, Drama",2010,tt1773000,7.6,1278,
Bridesmaids,movie,Comedy,2011,tt1478338,6.8,317012,
"Water for Elephants",movie,"Drama, Romance",2011,tt1067583,6.9,122442,
"The World According to Ion B.",movie,Documentary,2009,tt1683890,8,457,
Blitz,movie,"Action, Adventure, Crime",2011,tt1297919,6.1,94206,
"Nejvetsi z Cechu",movie,Comedy,2010,tt2180481,6.4,56,
"The Cherokee Kid",movie,"Comedy, Western",1996,tt0115875,6,1865,
"Spy Kids 4: All the Time in the World",movie,"Action, Adventure, Comedy",2011,tt1517489,3.6,29634,
"Mission: Impossible - Ghost Protocol",movie,"Action, Adventure, Thriller",2011,tt1229238,7.4,545008,
"The Flowers of St. Francis",movie,"Biography, Comedy, Drama",1950,tt0042477,7.3,4291,
"Life Support",movie,Drama,2007,tt0808348,6.7,1361,
"All-Star Superman",movie,"Action, Adventure, Animation",2011,tt1699114,6.8,17369,
"Le coach",movie,Comedy,2009,tt1473389,6,481,
"The Last Circus",movie,"Comedy, Drama, Horror",2010,tt1572491,6.5,15662,
"Dexter's Laboratory: Ego Trip",movie,"Action, Adventure, Animation",1999,tt0293092,7.4,2058,
"The Sunset Limited",movie,Drama,2011,tt1510938,7.3,32843,
"La crise",movie,"Comedy, Music",1992,tt0104025,6.9,1581,
"One Survivor Remembers",movie,"Documentary, History, Short",1995,tt0114044,7.9,400,
"Pur week-end",movie,Comedy,2007,tt0814654,4.5,347,
"The Hobbit: The Desolation of Smaug",movie,"Adventure, Fantasy",2013,tt1170358,7.8,732264,
"Wrath of the Titans",movie,"Action, Adventure, Fantasy",2012,tt1646987,5.7,199536,
"Project X",movie,Comedy,2012,tt1636826,6.7,246018,
Häxan,movie,"Documentary, Fantasy, Horror",1922,tt0013257,7.6,18064,
"Mr. Popper's Penguins",movie,"Comedy, Family, Fantasy",2011,tt1396218,6,109522,
"Johnny English Reborn",movie,"Action, Adventure, Comedy",2011,tt1634122,6.3,145626,
"Confessions of a Brazilian Call Girl",movie,"Biography, Drama",2011,tt1587828,6.2,8421,
"The Swamp",movie,"Comedy, Drama",2001,tt0240419,7,8559,
"Baghdad ER",movie,Documentary,2006,tt0802944,8,655,
"Sherlock Holmes: A Game of Shadows",movie,"Action, Adventure, Mystery",2011,tt1515091,7.4,492703,
"Snow White and the Huntsman",movie,"Action, Adventure, Drama",2012,tt1735898,6.1,310162,
"Tower Heist",movie,"Action, Comedy, Crime",2011,tt0471042,6.2,154340,
"The Enemy Within",movie,"Drama, Thriller",1994,tt0109730,5.7,1834,
"For Richer, for Poorer",movie,Comedy,1992,tt0104288,6.1,738,
"Mikey and Nicky",movie,"Crime, Drama, Thriller",1976,tt0074901,7.3,8277,
"The Assault",movie,"Action, History, Thriller",2010,tt1793239,6.1,4277,
"I Not Stupid Too",movie,"Comedy, Drama, Family",2006,tt0475179,6.8,701,
"Midnight in Paris",movie,"Comedy, Fantasy, Romance",2011,tt1605783,7.6,461669,
"Monte Carlo",movie,"Adventure, Comedy, Family",2011,tt1067774,5.8,50700,
"Larry Crowne",movie,"Comedy, Drama, Romance",2011,tt1583420,6.1,74148,
